Year,Predicted_Value
2011,92614239.5239253
2012,263097358.8338492
2013,332960000.31442237
2014,336062108.3141327
2015,311625920.95544124
2016,266269704.93442416
2017,203888403.81567788
2018,218057842.93423057
2019,193367070.18829417
2020,212329818.61232543
2021,202990538.66343594
2022,220018040.46504498
2023,218862285.30441713
2024,220086791.69061327
2025,218862285.30441284
2026,220086791.69061327
2027,218862285.30441284
2028,220086791.6906178
2029,218862285.30441284
2030,220086791.6906178
2031,218862285.30441713
2032,220086791.6906221
2033,218862285.30441713
2034,220086791.6906178
2035,218862285.30441284
