Year,Predicted_Value
2012,878578405.9371688
2013,722653583.5902832
2014,587311067.1410117
2015,442518408.4045489
2016,313446528.8726795
2017,200903580.91253376
2018,190645855.51387572
2019,198837741.96223998
2020,190329423.14157462
2021,206657904.3796599
2022,210760618.61271954
2023,231138853.36435294
2024,235709598.30912423
2025,231720210.54759407
2026,234778728.27732658
2027,233158208.70506907
2028,233393298.2275188
2029,232164227.34916234
2030,234002624.9245286
2031,231619767.49259496
2032,234778728.27732205
2033,233158208.7050736
2034,233393298.2275188
2035,232164227.34916234
