Year,Predicted_Value
2007,190629398.42643642
2008,304329062.19198513
2009,298678406.62292147
2010,278459641.4459839
2011,307486800.3448844
2012,291681686.7160492
2013,314058046.4324508
2014,338500672.89350986
2015,316940871.5587058
2016,279985411.2240124
2017,246170820.01954103
2018,234495037.37643933
2019,244696278.32653642
2020,233802873.7005639
2021,266712083.06736183
2022,273120083.0490935
2023,301145213.5533855
2024,294406982.06940746
2025,297269582.23025775
2026,296443638.1001215
2027,295640560.1506331
2028,297269582.23025775
2029,296443638.10013556
2030,295640560.1506331
2031,297269582.2302625
2032,296443638.10012627
2033,295640560.15063787
