Year,Predicted_Value
2005,65052626.275045395
2006,163888282.75959992
2007,203700046.22507
2008,160070815.81948185
2009,201811481.67764592
2010,160979710.35715055
2011,220708064.32693744
2012,216122060.09665418
2013,225132918.92256236
2014,258567501.43264246
2015,278548272.3538451
2016,262290531.7062044
2017,247242328.82727623
2018,234409006.470726
2019,243142862.9814961
2020,238130114.26607227
2021,263466901.47224808
2022,272796508.66485834
2023,291374726.48899937
2024,281825749.02845955
2025,287822446.4642334
2026,284950277.21836567
2027,283892194.7994988
2028,284916450.8779452
2029,283892194.79948926
2030,284916450.8779452
2031,283892194.7995033
2032,284916450.8779452
2033,283892194.79948926
