Year,Predicted_Value
2014,374584601.6879051
2015,392455664.40680027
2016,349957240.34389806
2017,337549837.8053434
2018,321240934.91703176
2019,330137786.02196455
2020,321445223.408221
2021,292356224.65193725
2022,268590676.99511576
2023,342954760.272125
2024,336563875.8840041
2025,334397724.01091313
2026,335976048.03797317
2027,334844839.55759406
2028,335976048.03796816
2029,334844839.55760384
2030,335976048.0379634
2031,334844839.55759907
2032,335976048.03796816
2033,334844839.55759907
2034,335976048.03796816
2035,334844839.55760384
